day,Core_clone,Intermediate_clone,Aggressive_clone
0,0.7000000000000001,0.20000000000000004,0.10000000000000002
20,0.44253480488951674,0.30484029856135475,0.2526248965491286
34,0.3237033362617819,0.24100285721469414,0.43529380652352395
286,0.15285151944543116,0.35841034835249747,0.48873813220207135
751,0.2720064052425673,0.2976650696877777,0.4303285250696548
